plane,manufacturing_year,type,manufacturer,model,engines,seats,speed,engine,fuel_cc
N10156,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,9005.466246
N102UW,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,,Turbo-fan,39135.26963
N103US,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,,Turbo-fan,39014.12278
N104UW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,,Turbo-fan,38930.37818
N10575,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8941.071223
N105UW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,,Turbo-fan,38705.81522
N107US,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,,Turbo-fan,38867.12494
N108UW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,,Turbo-fan,38930.07901
N109UW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,,Turbo-fan,38408.83612
N110UW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,,Turbo-fan,39280.42589
N11106,2002,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8832.413557
N11107,2002,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,9188.666876
N11109,2002,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,9020.147212
N11113,2002,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8477.45721
N11119,2002,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8805.206323
N11121,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8427.917257
N11127,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8461.356625
N11137,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8291.988902
N11140,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,9186.13658
N11150,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8663.266091
N11155,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,9092.254508
N11164,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8335.129642
N11165,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8136.389501
N11176,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,9096.196493
N11181,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8594.713027
N11184,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8710.511481
N11187,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8475.462801
N11189,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,9082.204115
N11191,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8534.318477
N11192,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8744.341327
N11193,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,9018.921624
N11194,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8660.108612
N11199,2006,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8109.238094
N111US,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,,Turbo-fan,39258.96634
N11206,2000,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan,28378.76474
N112US,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,,Turbo-fan,39193.36599
N113UW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,,Turbo-fan,38989.42378
N114UW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,,Turbo-fan,38484.97979
N11535,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8639.56612
N11536,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8396.910001
N11539,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,9235.797484
N11544,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8399.890245
N11547,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8724.610912
N11548,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8721.591373
N11551,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8162.135895
N11565,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,9031.731887
N117UW,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,,Turbo-fan,39007.70547
N118US,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,,Turbo-fan,38490.47424
N119US,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,,Turbo-fan,38727.7065
N1200K,1998,Fixed wing multi engine,BOEING,767-332,2,330,,Turbo-fan,114300.6401
N1201P,1998,Fixed wing multi engine,BOEING,767-332,2,330,,Turbo-fan,114354.5793
N12109,1994,Fixed wing multi engine,BOEING,757-224,2,178,,Turbo-jet,37351.32868
N12114,1995,Fixed wing multi engine,BOEING,757-224,2,178,,Turbo-jet,37533.00236
N12116,1996,Fixed wing multi engine,BOEING,757-224,2,178,,Turbo-jet,37018.11465
N12122,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8258.471778
